Product Name, Price (Rs), Rating, No. of customer Review, Product Url 
,,,,,,,,
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),549,3.9 out of 5 stars,"7,614",https://amazon.in//Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1688716530&sprefix=ba%2Caps%2C283&sr=8-30,,,,
,,,,,,,,
"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,3.9 out of 5 stars,"8,966",https://amazon.in//POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1688716530&sprefix=ba%2Caps%2C283&sr=8-31,,,,
,,,,,,,,
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",448,4.3 out of 5 stars,"12,999",https://amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1688716530&sprefix=ba%2Caps%2C283&sr=8-32,,,,
,,,,,,,,
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,495,3.9 out of 5 stars,791,https://amazon.in//NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-33,,,,
,,,,,,,,
ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0 out of 5 stars,"5,968",https://amazon.in//ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-34,,,,
,,,,,,,,
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",899,4.0 out of 5 stars,682,https://amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-35,,,,
,,,,,,,,
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",349,4.1 out of 5 stars,"9,323",https://amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-36,,,,
,,,,,,,,
ADISA 31 Ltrs Casual Backpack School College Bag Pack (Navy Blue),399,3.8 out of 5 stars,98,https://amazon.in//ADISA-Casual-Backpack-School-College/dp/B0BX3QFVSM/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-37,,,,
,,,,,,,,
DEIN KLEIDER Men's Nylon Messenger Bag,349,4.0 out of 5 stars,"5,046",https://amazon.in//Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-38,,,,
,,,,,,,,
"Storite Dust & Rain Cover for Backpack with Pouch, Waterproof Dustproof Rain Cover Bag Elastic Adjustable for School, College,Office, Trekking Bags (30L-35L,Black)",189,5.0 out of 5 stars,1,https://amazon.in//Storite-Backpack-Waterproof-Dustproof-Adjustable/dp/B0C7ZWNBJZ/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-39,,,,
,,,,,,,,
"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",649,5.0 out of 5 stars,3,https://amazon.in//TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-40,,,,
,,,,,,,,
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,988,4.4 out of 5 stars,"4,269",https://amazon.in//Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-41,,,,
,,,,,,,,
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,3.8 out of 5 stars,223,https://amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-42,,,,
,,,,,,,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,076",https://amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_43?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-43,,,,
,,,,,,,,
